PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Activated,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnYardsPerAttempt,KickReturnTouchdowns,KickReturnLong,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,SpecialTeamsSoloTackles,SpecialTeamsAssistedTackles,MiscSoloTackles,MiscAssistedTackles,Punts,PuntYards,PuntAverage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsLongestMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPointsPPR,ReceptionPercentage,ReceivingYardsPerTarget,Tackles,OffensiveTouchdowns,DefensiveTouchdowns,SpecialTeamsTouchdowns,Touchdowns,FantasyPosition,FieldGoalPercentage,PlayerSeasonID,FumblesOwnRecoveries,FumblesOutOfBounds,KickReturnFairCatches,PuntReturnFairCatches,PuntTouchbacks,PuntInside20,PuntNetAverage,ExtraPointsAttempted,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Safeties,FieldGoalsHadBlocked,PuntsHadBlocked,ExtraPointsHadBlocked,PuntLong,BlockedKickReturnYards,FieldGoalReturnYards,PuntNetYards,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,MiscFumblesForced,MiscFumblesRecovered,ShortName,SafetiesAllowed,Temperature,Humidity,WindSpeed,OffensiveSnapsPlayed,DefensiveSnapsPlayed,SpecialTeamsSnapsPlayed,OffensiveTeamSnaps,DefensiveTeamSnaps,SpecialTeamsTeamSnaps,AuctionValue,AuctionValuePPR,TwoPointConversionReturns,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,FantasyPointsYahoo,AverageDraftPosition,AverageDraftPositionPPR,TeamID,GlobalTeamID,FantasyPointsFantasyDraft,AverageDraftPositionRookie,AverageDraftPositionDynasty,AverageDraftPosition2QB,OffensiveFumbleRecoveryTouchdowns,ScoringDetails
549,1,2023,ARI,5,M.Prater,K,ST,17,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9,31.3,69.4,24.6,0.0,0.0,0.0,138.8,138.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,94.9,990983913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Prater,0.0,74,68,6,1,0,156,1268,1240,496,,,0.0,145.5,0.0,7.5,8.8,7.5,10.1,145.5,0.0,,,1,1,0.0,,,,,"[{'GameKey': '202310135', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 1, 'ScoringType': 'FieldGoalMade', 'Length': 31, 'ScoringDetailID': 490155, 'PlayerGameID': 990982497, 'ScoringPlayID': 173457}, {'GameKey': '202310135', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 1, 'ScoringType': 'FieldGoalMade', 'Length': 60, 'ScoringDetailID': 490159, 'PlayerGameID': 990982497, 'ScoringPlayID': 173460}, {'GameKey': '202310135', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 1, 'ScoringType': 'FieldGoalMade', 'Length': 41, 'ScoringDetailID': 490190, 'PlayerGameID': 990982497, 'ScoringPlayID': 173484}, {'GameKey': '202310201', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 2, 'ScoringType': 'FieldGoalMissed', 'Length': 62, 'ScoringDetailID': 490435, 'PlayerGameID': 991003926, 'ScoringPlayID': 173669}, {'GameKey': '202310201', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 2, 'ScoringType': 'FieldGoalMade', 'Length': 41, 'ScoringDetailID': 490451, 'PlayerGameID': 991003926, 'ScoringPlayID': 173682}, {'GameKey': '202310201', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 2, 'ScoringType': 'FieldGoalMade', 'Length': 49, 'ScoringDetailID': 490457, 'PlayerGameID': 991003926, 'ScoringPlayID': 173686}, {'GameKey': '202310301', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 3, 'ScoringType': 'FieldGoalMade', 'Length': 44, 'ScoringDetailID': 491496, 'PlayerGameID': 991009160, 'ScoringPlayID': 173837}, {'GameKey': '202310301', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 3, 'ScoringType': 'FieldGoalMade', 'Length': 48, 'ScoringDetailID': 491539, 'PlayerGameID': 991009160, 'ScoringPlayID': 173851}, {'GameKey': '202310301', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 3, 'ScoringType': 'FieldGoalMade', 'Length': 69, 'ScoringDetailID': 491543, 'PlayerGameID': 991009160, 'ScoringPlayID': 173854}, {'GameKey': '202310431', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 4, 'ScoringType': 'FieldGoalMade', 'Length': 43, 'ScoringDetailID': 492190, 'PlayerGameID': 991014052, 'ScoringPlayID': 174012}, {'GameKey': '202310632', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 6, 'ScoringType': 'FieldGoalMade', 'Length': 62, 'ScoringDetailID': 498674, 'PlayerGameID': 991021889, 'ScoringPlayID': 174254}, {'GameKey': '202310632', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 6, 'ScoringType': 'FieldGoalMade', 'Length': 36, 'ScoringDetailID': 498681, 'PlayerGameID': 991021889, 'ScoringPlayID': 174260}, {'GameKey': '202310632', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 6, 'ScoringType': 'FieldGoalMade', 'Length': 30, 'ScoringDetailID': 498690, 'PlayerGameID': 991021889, 'ScoringPlayID': 174267}, {'GameKey': '202310730', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 7, 'ScoringType': 'FieldGoalMade', 'Length': 49, 'ScoringDetailID': 498821, 'PlayerGameID': 991024932, 'ScoringPlayID': 174373}, {'GameKey': '202310730', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 7, 'ScoringType': 'FieldGoalMissed', 'Length': 38, 'ScoringDetailID': 498852, 'PlayerGameID': 991024932, 'ScoringPlayID': 174396}, {'GameKey': '202310801', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 8, 'ScoringType': 'FieldGoalMade', 'Length': 53, 'ScoringDetailID': 501689, 'PlayerGameID': 991029414, 'ScoringPlayID': 174544}, {'GameKey': '202311001', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 10, 'ScoringType': 'FieldGoalMade', 'Length': 57, 'ScoringDetailID': 502395, 'PlayerGameID': 991038104, 'ScoringPlayID': 174759}, {'GameKey': '202311001', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 10, 'ScoringType': 'FieldGoalMade', 'Length': 51, 'ScoringDetailID': 502402, 'PlayerGameID': 991038104, 'ScoringPlayID': 174764}, {'GameKey': '202311001', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 10, 'ScoringType': 'FieldGoalMade', 'Length': 63, 'ScoringDetailID': 502418, 'PlayerGameID': 991038104, 'ScoringPlayID': 174777}, {'GameKey': '202311001', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 10, 'ScoringType': 'FieldGoalMade', 'Length': 26, 'ScoringDetailID': 502446, 'PlayerGameID': 991038104, 'ScoringPlayID': 174795}, {'GameKey': '202311113', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 11, 'ScoringType': 'FieldGoalMade', 'Length': 64, 'ScoringDetailID': 502511, 'PlayerGameID': 991041050, 'ScoringPlayID': 174843}, {'GameKey': '202311201', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 12, 'ScoringType': 'FieldGoalMissed', 'Length': 63, 'ScoringDetailID': 502773, 'PlayerGameID': 991046560, 'ScoringPlayID': 175043}, {'GameKey': '202311328', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 13, 'ScoringType': 'FieldGoalMade', 'Length': 57, 'ScoringDetailID': 502864, 'PlayerGameID': 991049454, 'ScoringPlayID': 175100}, {'GameKey': '202311501', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 15, 'ScoringType': 'FieldGoalMade', 'Length': 65, 'ScoringDetailID': 505691, 'PlayerGameID': 991058620, 'ScoringPlayID': 175428}, {'GameKey': '202311501', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 15, 'ScoringType': 'FieldGoalMade', 'Length': 48, 'ScoringDetailID': 505693, 'PlayerGameID': 991058620, 'ScoringPlayID': 175430}, {'GameKey': '202311501', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 15, 'ScoringType': 'FieldGoalMade', 'Length': 31, 'ScoringDetailID': 505707, 'PlayerGameID': 991058620, 'ScoringPlayID': 175439}, {'GameKey': '202311606', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 16, 'ScoringType': 'FieldGoalMade', 'Length': 62, 'ScoringDetailID': 505880, 'PlayerGameID': 991062929, 'ScoringPlayID': 175567}, {'GameKey': '202311726', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 17, 'ScoringType': 'FieldGoalMade', 'Length': 31, 'ScoringDetailID': 511035, 'PlayerGameID': 991066107, 'ScoringPlayID': 175652}, {'GameKey': '202311726', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 17, 'ScoringType': 'FieldGoalMade', 'Length': 38, 'ScoringDetailID': 511063, 'PlayerGameID': 991066107, 'ScoringPlayID': 175674}, {'GameKey': '202311801', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMade', 'Length': 26, 'ScoringDetailID': 511300, 'PlayerGameID': 991071456, 'ScoringPlayID': 175853}, {'GameKey': '202311801', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMade', 'Length': 38, 'ScoringDetailID': 511313, 'PlayerGameID': 991071456, 'ScoringPlayID': 175865}, {'GameKey': '202311801', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMissed', 'Length': 48, 'ScoringDetailID': 511349, 'PlayerGameID': 991071456, 'ScoringPlayID': 175891}, {'GameKey': '202311801', 'SeasonType': 1, 'PlayerID': 549, 'Team': 'ARI', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMissed', 'Length': 57, 'ScoringDetailID': 511355, 'PlayerGameID': 991071456, 'ScoringPlayID': 175896}]"
611,1,2023,CLE,15,J.Flacco,QB,OFF,5,5,5,228.3,137.6,1808.3,67.5,9.9,14.7,14.5,10.0,101.0,83.9,10.0,63.8,10.1,2.5,0.3,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,112.8,112.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,991051534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Flacco,0.0,51,39,10,387,0,0,460,474,207,,,0.0,121.8,0.0,0.0,0.0,0.0,0.0,136.3,121.8,,,8,8,136.3,,,,,"[{'GameKey': '202311332', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 13, 'ScoringType': 'PassingTouchdown', 'Length': 27, 'ScoringDetailID': 503289, 'PlayerGameID': 991050604, 'ScoringPlayID': 175148}, {'GameKey': '202311332', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 13, 'ScoringType': 'PassingTouchdown', 'Length': 10, 'ScoringDetailID': 503323, 'PlayerGameID': 991050604, 'ScoringPlayID': 175173}, {'GameKey': '202311408', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 14, 'ScoringType': 'PassingTouchdown', 'Length': 38, 'ScoringDetailID': 503386, 'PlayerGameID': 991053210, 'ScoringPlayID': 175207}, {'GameKey': '202311408', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 14, 'ScoringType': 'PassingTouchdown', 'Length': 34, 'ScoringDetailID': 503407, 'PlayerGameID': 991053210, 'ScoringPlayID': 175223}, {'GameKey': '202311408', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 14, 'ScoringType': 'PassingTouchdown', 'Length': 46, 'ScoringDetailID': 504096, 'PlayerGameID': 991053210, 'ScoringPlayID': 175263}, {'GameKey': '202311508', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 15, 'ScoringType': 'PassingTouchdown', 'Length': 3, 'ScoringDetailID': 505641, 'PlayerGameID': 991058405, 'ScoringPlayID': 175390}, {'GameKey': '202311508', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 15, 'ScoringType': 'PassingTouchdown', 'Length': 57, 'ScoringDetailID': 505681, 'PlayerGameID': 991058405, 'ScoringPlayID': 175420}, {'GameKey': '202311613', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 84, 'ScoringDetailID': 505798, 'PlayerGameID': 991061888, 'ScoringPlayID': 175509}, {'GameKey': '202311613', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 23, 'ScoringDetailID': 505807, 'PlayerGameID': 991061888, 'ScoringPlayID': 175517}, {'GameKey': '202311613', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 9, 'ScoringDetailID': 505826, 'PlayerGameID': 991061888, 'ScoringPlayID': 175530}, {'GameKey': '202311708', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 17, 'ScoringType': 'PassingTouchdown', 'Length': 9, 'ScoringDetailID': 510812, 'PlayerGameID': 991065627, 'ScoringPlayID': 175624}, {'GameKey': '202311708', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 17, 'ScoringType': 'PassingTouchdown', 'Length': 10, 'ScoringDetailID': 510821, 'PlayerGameID': 991065627, 'ScoringPlayID': 175628}, {'GameKey': '202311708', 'SeasonType': 1, 'PlayerID': 611, 'Team': 'CLE', 'Season': 2023, 'Week': 17, 'ScoringType': 'PassingTouchdown', 'Length': 56, 'ScoringDetailID': 510825, 'PlayerGameID': 991065627, 'ScoringPlayID': 175630}]"
1694,1,2023,NYG,21,M.Crosby,K,ST,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,6.3,58.2,7.5,0.0,0.0,0.0,25.7,25.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,K,79.9,991055062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Crosby,0.0,44,56,10,0,0,35,314,307,137,,,0.0,25.7,0.0,2.5,2.5,0.0,1.3,25.7,0.0,,,23,23,0.0,,,,,"[{'GameKey': '202311626', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 16, 'ScoringType': 'FieldGoalMade', 'Length': 58, 'ScoringDetailID': 505918, 'PlayerGameID': 991064195, 'ScoringPlayID': 175598}, {'GameKey': '202311723', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 17, 'ScoringType': 'FieldGoalMade', 'Length': 35, 'ScoringDetailID': 511086, 'PlayerGameID': 991066112, 'ScoringPlayID': 175691}, {'GameKey': '202311723', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 17, 'ScoringType': 'FieldGoalMade', 'Length': 36, 'ScoringDetailID': 511115, 'PlayerGameID': 991066112, 'ScoringPlayID': 175713}, {'GameKey': '202311723', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 17, 'ScoringType': 'FieldGoalMissed', 'Length': 60, 'ScoringDetailID': 511144, 'PlayerGameID': 991066112, 'ScoringPlayID': 175736}, {'GameKey': '202311823', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMade', 'Length': 27, 'ScoringDetailID': 511286, 'PlayerGameID': 991071423, 'ScoringPlayID': 175843}, {'GameKey': '202311823', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMade', 'Length': 23, 'ScoringDetailID': 511346, 'PlayerGameID': 991071423, 'ScoringPlayID': 175888}, {'GameKey': '202311823', 'SeasonType': 1, 'PlayerID': 1694, 'Team': 'NYG', 'Season': 2023, 'Week': 18, 'ScoringType': 'FieldGoalMissed', 'Length': 50, 'ScoringDetailID': 511350, 'PlayerGameID': 991071423, 'ScoringPlayID': 175892}]"
2593,1,2023,NYJ,8,A.Rodgers,QB,OFF,1,1,1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,0.0,1.3,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990985716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A.Rodgers,0.0,49,38,6,5,0,0,316,276,134,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,24,24,0.0,,,,,[]
3061,1,2023,CHI,84,M.Lewis,TE,OFF,17,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,5.0,32.5,9.0,1.3,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,14.4,89.5,7.3,0.0,1.3,0.0,0.0,1.3,TE,0.0,990984130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Lewis,0.0,59,54,10,372,0,19,1273,1198,496,,,0.0,12.2,0.0,0.0,0.0,0.0,0.0,14.4,12.2,,,6,6,14.4,,,,,"[{'GameKey': '202311606', 'SeasonType': 1, 'PlayerID': 3061, 'Team': 'CHI', 'Season': 2023, 'Week': 16, 'ScoringType': 'ReceivingTouchdown', 'Length': 1, 'ScoringDetailID': 505870, 'PlayerGameID': 991062984, 'ScoringPlayID': 175560}]"
3341,1,2023,ATL,93,C.Campbell,DL,DEF,17,17,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,26.9,11.2,8.1,32.5,19.0,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.3,107.3,0.0,0.0,62.7,0.0,0.0,0.0,0.0,DL,0.0,990983968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C.Campbell,0.0,67,66,10,0,797,157,1264,1275,520,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2,2,0.0,,,,,"[{'GameKey': '202310902', 'SeasonType': 1, 'PlayerID': 3341, 'Team': 'ATL', 'Season': 2023, 'Week': 9, 'ScoringType': 'Safety', 'Length': 0, 'ScoringDetailID': 502180, 'PlayerGameID': 991033451, 'ScoringPlayID': 174587}]"
3617,1,2023,NYJ,76,D.Brown,OT,OFF,5,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,OL,0.0,990985717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Brown,0.0,63,57,9,124,0,11,496,528,218,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,24,24,0.0,,,,,[]
6489,1,2023,BAL,17,J.Johnson,QB,OFF,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990984023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Johnson,0.0,62,56,8,0,0,0,1179,1201,489,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3,3,0.0,,,,,[]
7651,1,2023,NE,18,M.Slater,WR,OFF,16,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,WR,0.0,990984673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M.Slater,0.0,59,75,9,0,1,423,1176,1273,513,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,21,21,0.0,,,,,[]
8358,1,2023,LV,7,B.Hoyer,QB,OFF,3,3,1,47.0,25.7,258.5,61.3,6.9,11.2,0.0,2.5,56.8,53.7,1.3,10.0,3.8,-3.4,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,990984782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B.Hoyer,0.0,63,54,8,90,0,0,1170,1268,486,,,0.0,8.7,0.0,0.0,0.0,0.0,0.0,8.7,8.7,,,25,25,8.7,,,,,[]
